game_id,points,swaps,cascades,reached_target,stopping_reason,moves_to_10000
0,10090,888,1405,True,REACHED_TARGET,888
1,10000,886,1427,True,REACHED_TARGET,886
2,10015,816,1399,True,REACHED_TARGET,816
3,10000,898,1438,True,REACHED_TARGET,898
4,10000,821,1369,True,REACHED_TARGET,821
5,10000,862,1391,True,REACHED_TARGET,862
6,10010,833,1391,True,REACHED_TARGET,833
7,10000,811,1334,True,REACHED_TARGET,811
8,10005,847,1416,True,REACHED_TARGET,847
9,10015,871,1426,True,REACHED_TARGET,871
10,10030,854,1390,True,REACHED_TARGET,854
11,10000,876,1420,True,REACHED_TARGET,876
12,10000,806,1352,True,REACHED_TARGET,806
13,10000,831,1355,True,REACHED_TARGET,831
14,10050,796,1330,True,REACHED_TARGET,796
15,10000,813,1351,True,REACHED_TARGET,813
16,10010,834,1378,True,REACHED_TARGET,834
17,10005,815,1334,True,REACHED_TARGET,815
18,10000,797,1357,True,REACHED_TARGET,797
19,10005,820,1358,True,REACHED_TARGET,820
20,10030,817,1297,True,REACHED_TARGET,817
21,10000,826,1344,True,REACHED_TARGET,826
22,10035,887,1457,True,REACHED_TARGET,887
23,10000,841,1373,True,REACHED_TARGET,841
24,10000,790,1335,True,REACHED_TARGET,790
25,10000,824,1332,True,REACHED_TARGET,824
26,10000,790,1311,True,REACHED_TARGET,790
27,10020,854,1384,True,REACHED_TARGET,854
28,10000,816,1332,True,REACHED_TARGET,816
29,10010,857,1392,True,REACHED_TARGET,857
30,10020,842,1377,True,REACHED_TARGET,842
31,10000,767,1303,True,REACHED_TARGET,767
32,10010,785,1363,True,REACHED_TARGET,785
33,10015,822,1381,True,REACHED_TARGET,822
34,10000,875,1432,True,REACHED_TARGET,875
35,10000,820,1372,True,REACHED_TARGET,820
36,10045,757,1314,True,REACHED_TARGET,757
37,10025,847,1385,True,REACHED_TARGET,847
38,10000,866,1398,True,REACHED_TARGET,866
39,10000,818,1367,True,REACHED_TARGET,818
40,10000,847,1398,True,REACHED_TARGET,847
41,10005,816,1367,True,REACHED_TARGET,816
42,10010,770,1340,True,REACHED_TARGET,770
43,10000,806,1319,True,REACHED_TARGET,806
44,10000,809,1316,True,REACHED_TARGET,809
45,10005,868,1427,True,REACHED_TARGET,868
46,10005,784,1346,True,REACHED_TARGET,784
47,10030,816,1318,True,REACHED_TARGET,816
48,10000,769,1315,True,REACHED_TARGET,769
49,10010,810,1369,True,REACHED_TARGET,810
50,10010,806,1362,True,REACHED_TARGET,806
51,10000,785,1339,True,REACHED_TARGET,785
52,10000,817,1348,True,REACHED_TARGET,817
53,10015,754,1308,True,REACHED_TARGET,754
54,10000,927,1441,True,REACHED_TARGET,927
55,10000,802,1341,True,REACHED_TARGET,802
56,10000,796,1348,True,REACHED_TARGET,796
57,10000,827,1390,True,REACHED_TARGET,827
58,10005,823,1345,True,REACHED_TARGET,823
59,10000,810,1352,True,REACHED_TARGET,810
60,10025,819,1378,True,REACHED_TARGET,819
61,10025,766,1291,True,REACHED_TARGET,766
62,10015,831,1346,True,REACHED_TARGET,831
63,10000,818,1374,True,REACHED_TARGET,818
64,10005,880,1411,True,REACHED_TARGET,880
65,10000,874,1414,True,REACHED_TARGET,874
66,10005,805,1326,True,REACHED_TARGET,805
67,10000,787,1339,True,REACHED_TARGET,787
68,10010,814,1368,True,REACHED_TARGET,814
69,10080,849,1419,True,REACHED_TARGET,849
70,10000,816,1365,True,REACHED_TARGET,816
71,10035,795,1365,True,REACHED_TARGET,795
72,10000,783,1333,True,REACHED_TARGET,783
73,10015,812,1368,True,REACHED_TARGET,812
74,10025,843,1363,True,REACHED_TARGET,843
75,10000,850,1428,True,REACHED_TARGET,850
76,10020,799,1329,True,REACHED_TARGET,799
77,10010,847,1379,True,REACHED_TARGET,847
78,10000,806,1346,True,REACHED_TARGET,806
79,10025,928,1458,True,REACHED_TARGET,928
80,10030,874,1375,True,REACHED_TARGET,874
81,10005,895,1449,True,REACHED_TARGET,895
82,10005,742,1263,True,REACHED_TARGET,742
83,10020,851,1403,True,REACHED_TARGET,851
84,10060,873,1419,True,REACHED_TARGET,873
85,10025,812,1356,True,REACHED_TARGET,812
86,10015,758,1281,True,REACHED_TARGET,758
87,10000,824,1364,True,REACHED_TARGET,824
88,10000,838,1381,True,REACHED_TARGET,838
89,10000,842,1402,True,REACHED_TARGET,842
90,10015,806,1332,True,REACHED_TARGET,806
91,10000,842,1403,True,REACHED_TARGET,842
92,10010,827,1367,True,REACHED_TARGET,827
93,10015,758,1292,True,REACHED_TARGET,758
94,10005,774,1313,True,REACHED_TARGET,774
95,10005,846,1382,True,REACHED_TARGET,846
96,10040,793,1376,True,REACHED_TARGET,793
97,10000,858,1373,True,REACHED_TARGET,858
98,10000,751,1282,True,REACHED_TARGET,751
99,10045,807,1346,True,REACHED_TARGET,807
